ISO3,Country,2015
GMB,Gambia,57.74
GMB,Gambia,58.43
CIV,Côte d’Ivoire,58.47
SAU,Saudi Arabia,58.62
BGD,Bangladesh,58.69
PAK,Pakistan,58.76
SEN,Senegal,59.77
SEN,Senegal,59.77
SEN,Senegal,59.78
MNG,Mongolia,59.97
SWE,Sweden,6.03
NOR,Norway,6.17
AUS,Australia,6.21
NZL,New Zealand,6.32
USA,United States of America,6.36
EST,Estonia,6.41
CAN,Canada,6.41
FIN,Finland,6.48
NZL,New Zealand,6.65
CAN,Canada,6.69
NZL,New Zealand,6.72
EST,Estonia,6.73
NOR,Norway,6.82
SAU,Saudi Arabia,60.11
IND,India,60.94
NGA,Nigeria,61.73
BHR,Bahrain,61.73
CPV,Cabo Verde,62.05
CPV,Cabo Verde,62.2
KWT,Kuwait,62.59
PAK,Pakistan,62.61
BGD,Bangladesh,62.79
CPV,Cabo Verde,62.87
MLI,Mali,63.07
BHR,Bahrain,63.21
BHR,Bahrain,63.32
AFG,Afghanistan,63.61
TCD,Chad,63.61
MLI,Mali,63.64
SAU,Saudi Arabia,63.96
MLI,Mali,64.04
BGD,Bangladesh,64.13
TCD,Chad,64.27
CMR,Cameroon,64.27
KWT,Kuwait,64.97
CMR,Cameroon,65.42
CMR,Cameroon,66.63
EGY,Egypt,66.73
TCD,Chad,66.75
IND,India,68.76
AUS,Australia,7.14
IRL,Ireland,7.28
AUS,Australia,7.29
PRT,Portugal,7.3
USA,United States of America,7.43
BRN,Brunei Darussalam,7.44
BRN,Brunei Darussalam,7.51
NOR,Norway,7.64
USA,United States of America,7.67
PRT,Portugal,7.69
BRN,Brunei Darussalam,7.8
ESP,Spain,7.97
AND,Andorra,7.99
MRT,Mauritania,70.81
EGY,Egypt,72.31
NGA,Nigeria,72.78
EGY,Egypt,72.97
QAT,Qatar,73.3
MRT,Mauritania,74.13
NPL,Nepal,77.72
MRT,Mauritania,78.1
IND,India,78.16
IRL,Ireland,8.01
RUS,Russian Federation,8.09
GBR,United Kingdom of Great Britain and Northern Ireland,8.09
NRU,Nauru,8.19
NRU,Nauru,8.19
CHE,Switzerland,8.3
PRT,Portugal,8.4
IRL,Ireland,8.49
TUV,Tuvalu,8.5
TUV,Tuvalu,8.5
LUX,Luxembourg,8.54
PLW,Palau,8.68
AND,Andorra,8.71
PLW,Palau,8.79
PLW,Palau,8.84
COK,Cook Islands,8.87
COK,Cook Islands,8.87
QAT,Qatar,80.8
NPL,Nepal,81.57
QAT,Qatar,81.64
NPL,Nepal,87.97
NER,Niger,89.42
BEL,Belgium,9.1
DNK,Denmark,9.12
ESP,Spain,9.2
NIU,Niue,9.34
NIU,Niue,9.34
MLT,Malta,9.43
AND,Andorra,9.47
ESP,Spain,9.51
MUS,Mauritius,9.52
URY,Uruguay,9.6
FRA,France,9.64
KNA,Saint Kitts and Nevis,9.72
KNA,Saint Kitts and Nevis,9.73
KNA,Saint Kitts and Nevis,9.79
RUS,Russian Federation,9.8
DNK,Denmark,9.85
NRU,Nauru,9.88
LTU,Lithuania,9.91
URY,Uruguay,9.95
URY,Uruguay,9.99
NER,Niger,93.18
NER,Niger,93.83
ESP,Spain,10.08
MHL,Marshall Islands,10.15
MHL,Marshall Islands,10.15
MDV,Maldives,10.32
VUT,Vanuatu,10.36
FJI,Fiji,10.39
ESP,Spain,10.4
TON,Tonga,10.43
FRA,France,10.48
RUS,Russian Federation,10.51
MLT,Malta,10.53
KIR,Kiribati,10.55
FSM,Micronesia (Federated States of),10.55
TON,Tonga,10.59
DNK,Denmark,10.6
VUT,Vanuatu,10.61
MUS,Mauritius,10.64
KIR,Kiribati,10.65
WSM,Samoa,10.68
TON,Tonga,10.71
FSM,Micronesia (Federated States of),10.73
LVA,Latvia,10.73
LTU,Lithuania,10.73
AND,Andorra,10.74
FJI,Fiji,10.75
GBR,United Kingdom of Great Britain and Northern Ireland,10.76
SLB,Solomon Islands,10.81
PNG,Papua New Guinea,10.83
WSM,Samoa,10.86
DNK,Denmark,10.88
GBR,United Kingdom of Great Britain and Northern Ireland,10.88
PNG,Papua New Guinea,10.91
SLB,Solomon Islands,10.93
LUX,Luxembourg,10.94
FSM,Micronesia (Federated States of),10.95
BRA,Brazil,10.97
VUT,Vanuatu,11.05
JPN,Japan,11.09
FJI,Fiji,11.1
KIR,Kiribati,11.12
LUX,Luxembourg,11.15
WSM,Samoa,11.17
MDV,Maldives,11.2
CHE,Switzerland,11.21
DEU,Germany,11.3
CHE,Switzerland,11.45
MUS,Mauritius,11.46
AUT,Austria,11.6
LTU,Lithuania,11.61
SLB,Solomon Islands,11.62
NLD,Netherlands,11.69
ITA,Italy,11.74
